tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL041W	YAL041W	1156.947736	1017.833276	1132.686013	895.379847	959.872937
YAL040C	YAL040C	981.584673	1068.334255	1154.145381	765.636527	1051.811363
YAL039C	YAL039C	637.886376	1100.462329	1304.394862	450.884115	358.339187
YAL038W	YAL038W	194502.357667	184406.096052	201154.466476	186321.100114	218503.084056
YAL037C-B	YAL037C-B	56.370699	0	77.502507	0	0
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037W	YAL037W	286.182943	327.170792	338.082534	151.713321	72.343879
YAL036C	YAL036C	2366.063687	2486.954545	3201.484355	2099.858046	2344.846186
YAL035W	YAL035W	6544.565499	6319.862939	5919.66706	6450.796951	6316.89868
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	YAL034W-A	518.493359	116.937174	755.232758	171.80849	393.303799
YAL034C	YAL034C	677.564298	584.685868	830.756033	247.051052	257.080132
YAL033W	YAL033W	1670.179422	1599.287803	1652.626963	1224.712421	906.948822
YAL032C	YAL032C	655.135844	570.23296	778.65346	446.710359	615.460931
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL031C	YAL031C	816.854968	713.24198	663.326909	410.477822	326.357593
YAL030W	YAL030W	3349.392287	4531.245607	7203.647533	1893.654437	1915.128107
YAL029C	YAL029C	1904.683263	1540.168667	1614.015419	1367.974264	1505.700567
YAL028W	YAL028W	288.412688	216.906649	266.167296	67.987041	129.716385
YAL027W	YAL027W	736.313458	676.315742	698.872103	195.161464	148.90081
YAL026C-A	YAL026C-A	2014.34729	2121.041266	1893.976303	1295.598575	905.609717
YAL026C	YAL026C	1421.968471	1576.10972	1545.226921	1115.441857	1458.801629
HRA1	HRA1	0	0	0	0	0
YAL025C	YAL025C	1147.931469	1566.714147	1563.14047	1601.67051	1283.327892
YAL024C	YAL024C	538.003616	464.521248	456.936287	401.879165	511.288388
YAL023C	YAL023C	6501.072331	5767.940461	6080.256129	4932.732319	5316.291177
YAL022C	YAL022C	1377.990676	1000.78133	1235.245722	939.686004	896.433536
YAL021C	YAL021C	2034.775302	1633.194969	1679.392126	1397.971239	1549.569405
YAL020C	YAL020C	654.553855	385.643872	448.319021	347.114221	110.354636
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL019W	YAL019W	1422.333961	1279.023559	1416.937634	1389.444351	1197.444782
YAL018C	YAL018C	0	0	0	0	0
YAL017W	YAL017W	1164.651853	1081.538782	1029.377695	623.983043	707.394073
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016W	YAL016W	3867.412113	3498.241127	3682.69347	2688.886348	2750.419017
YAL015C	YAL015C	528.871116	457.901354	552.035397	186.989372	267.543139
YAL014C	YAL014C	1213.490516	1399.634122	1554.788053	1125.70835	1303.62224
YAL013W	YAL013W	346.531785	674.079989	677.212845	482.428524	438.260824
YAL012W	YAL012W	11046.619304	8956.011773	10737.067385	9131.656206	10407.092633
YAL011W	YAL011W	265.89824	534.405755	414.171869	267.965986	457.47543
YAL010C	YAL010C	380.690122	353.089517	547.298543	550.664157	350.205488
YAL009W	YAL009W	1040.957982	1025.95822	671.44467	354.736415	375.901144
YAL008W	YAL008W	1485.130059	1775.962252	1295.430936	562.173521	321.380325
YAL007C	YAL007C	4361.417275	5100.576194	6211.884282	3065.482972	4215.531515
tP(UGG)A	tP(UGG)A	0	0	0	3043.588787	0
YAL005C	YAL005C	159408.992368	137013.59335	148979.21931	112544.749547	111814.357182
YAL004W	YAL004W	94.813419	0	47.059729	0	95.807534
YAL003W	YAL003W	63495.035831	79145.348108	85470.362516	59371.918611	71444.674561
snR18	snR18	10415.234495	81850.398417	21145.064548	14898.941322	28539.65463
YAL002W	YAL002W	447.484858	334.620217	429.605965	415.402726	314.574919
YAL001C	YAL001C	754.206023	796.098724	666.230687	436.443139	416.435076
YAR002W	YAR002W	1785.076315	1587.614178	1654.235367	1013.230464	1267.681968
YAR002C-A	YAR002C-A	5919.855269	6896.441089	7126.449953	4167.445134	5982.795279
YAR003W	YAR003W	1103.295382	597.729297	635.831264	476.780679	578.833684
YAR007C	YAR007C	1499.558404	1502.961068	1460.365911	1349.301516	1219.522646
YAR008W	YAR008W	551.527752	878.040369	583.280109	146.198078	348.567275
YAR009C	YAR009C	219426.692928	185961.605343	186367.120301	256666.823414	231007.864346
YAR010C	YAR010C	226056.570734	205307.020585	206428.97305	281299.88886	244309.562486
tA(UGC)A	tA(UGC)A	0	0	0	0	0
YAR014C	YAR014C	1274.525517	1176.213799	1673.724333	835.825432	1172.69355
YAR015W	YAR015W	3202.124625	3403.551422	4214.896624	2915.040328	2383.323228
YAR018C	YAR018C	797.885865	479.68557	495.683957	528.958513	565.123939
YAR019C	YAR019C	346.270176	474.305916	504.12845	227.410206	300.432202
YAR019W-A	YAR019W-A	0	0	0	0	0
YAR020C	YAR020C	0	0	0	0	0
YAR023C	YAR023C	122.285001	125.001805	322.927108	129.549447	0
tL(CAA)A	tL(CAA)A	0	0	0	0	0
tS(AGA)A	tS(AGA)A	4738.940712	0	0	0	0
YAR027W	YAR027W	2107.040976	2611.937298	3026.207757	1161.479072	1618.512625
YAR028W	YAR028W	1525.553156	1035.729249	2305.202748	718.751533	942.266661
YAR029W	YAR029W	576.471192	2846.851639	5883.598647	0	0
YAR030C	YAR030C	508.13154	0	407.121956	133.999431	0
YAR031W	YAR031W	1060.946973	728.372195	1215.843031	397.062253	568.104995
YAR033W	YAR033W	84.752953	956.057768	823.286696	224.609854	342.642422
YAR035W	YAR035W	47.960403	79.935003	41.30049	152.634421	48.540644
YAR035C-A	YAR035C-A	0	0	0	0	0
YAR042W	YAR042W	1390.882243	1147.514313	1118.026803	900.971121	1015.358803
YAR047C	YAR047C	0	0	526.358495	149.875516	0
YAR050W	YAR050W	44.458147	68.529448	59.049415	73.02549	71.321671
YAR053W	YAR053W	0	0	0	0	0
YAR060C	YAR060C	262.239681	0	870.89816	0	262.144841
YAR061W	YAR061W	0	0	0	0	0
YAR062W	YAR062W	106.080718	0	107.952578	56.217352	0
YAR064W	YAR064W	0	0	0	0	0
YAR066W	YAR066W	307.505695	600.837408	413.91762	271.614624	1138.847875
YAR068W	YAR068W	1285.958482	1382.435218	1904.722599	378.341661	1008.193442
YAR069C	YAR069C	0	0	0	0	332.980279
YAR070C	YAR070C	0	0	0	0	0
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
